case,status,obj,iters,nb,ng,nl,data_ms,init_ms,solve_ms,total_ms
pglib_opf_case10000_goc,knitro,Solved,1354031.34630926,-1,10000,2089,13193,0.028,0.016,6.615,6.660
pglib_opf_case9591_goc,knitro,Solved,1061683.57290587,-1,9591,365,15915,0.024,0.018,1.521,1.564
pglib_opf_case9241_pegase,knitro,Solved,6242484.33480097,-1,9241,1445,16049,0.029,0.020,7.823,7.873
pglib_opf_case7336_epigrids,knitro,Solved,1882390.23837673,-1,7336,686,11521,0.022,0.014,0.787,0.823
pglib_opf_case5658_epigrids,knitro,Solved,1207313.79229713,-1,5658,474,9078,0.018,0.012,0.526,0.557
pglib_opf_case4661_sdet,knitro,Solved,2251344.08382091,-1,4661,1176,5997,0.014,0.008,0.474,0.497
pglib_opf_case4020_goc,knitro,Solved,822247.313124886,-1,4020,352,6988,0.013,0.009,0.729,0.752
pglib_opf_case3120sp_k,knitro,Solved,2147969.10671382,-1,3120,505,3693,0.007,0.005,0.246,0.260
pglib_opf_case3022_goc,knitro,Solved,601383.847116767,-1,3022,637,4135,0.009,0.005,0.260,0.275
pglib_opf_case2000_ieee,knitro,Solved,1228892.07551818,-1,2000,544,3206,0.041,0.003,0.264,0.309
pglib_opf_case1354_ieee,knitro,Solved,1258843.99628422,-1,1354,260,1991,0.004,0.002,0.148,0.156
pglib_opf_case300_ieee,knitro,Solved,565219.990889961,-1,300,69,411,0.001,0.000,0.025,0.027
pglib_opf_case3120sp_k,knitro,Solved,2147969.10671382,-1,3120,505,3693,0.006,0.005,0.259,0.272
pglib_opf_case30000_goc,knitro,Solved,1142331.61086787,-1,30000,3526,35393,0.065,0.043,30.723,30.832
pglib_opf_case78484_epigrids,knitro,Error,17982080.0641549,-1,78484,6873,126146,0.181,0.164,124.410,124.755
pglib_opf_case24464_goc,knitro,Solved,2629531.15971122,-1,24464,1591,37816,0.063,0.047,5.633,5.743
pglib_opf_case24464_goc:ipopt,Solved,2629531.28882208,63,24464,1591,37816,0.061,0.046,12.228,12.336
pglib_opf_case19402_goc:ipopt,Solved,1977354.01359077,48,19402,971,34704,0.053,0.039,10.464,10.558
pglib_opf_case19402_goc,knitro,Solved,1977354.03755066,-1,19402,971,34704,0.052,0.039,4.095,4.188
pglib_opf_case20758_epigrids,knitro,Solved,2617867.11320002,-1,20758,2250,33368,0.052,0.039,2.606,2.699
pglib_opf_case20758_epigrids:ipopt,Solved,2617867.10573301,72,20758,2250,33368,0.055,0.039,11.886,11.981
pglib_opf_case6515_rte,knitro,Solved,2825499.77229946,-1,6515,1388,9037,0.020,0.012,4.694,4.726
pglib_opf_case6495_rte,knitro,Solved,3067825.79749879,-1,6495,1372,9019,0.020,0.012,3.929,3.962
pglib_opf_case6468_rte,knitro,Solved,2069730.16890513,-1,6468,1295,9000,0.019,0.012,6.575,6.607
pglib_opf_case10192_epigrids,knitro,Solved,1686922.68641632,-1,10192,722,17043,0.030,0.021,1.351,1.403
pglib_opf_case10192_epigrids:ipopt,Solved,1686922.67176768,53,10192,722,17043,0.028,0.020,4.700,4.748
pglib_opf_case10480_goc:ipopt,Solved,2314647.99941487,50,10480,777,18559,0.033,0.023,5.965,6.022
pglib_opf_case10480_goc,knitro,Solved,2314648.02290908,-1,10480,777,18559,0.029,0.021,1.819,1.870
pglib_opf_case9241_pegase:ipopt,Solved,6243090.38302337,141,9241,1445,16049,0.030,0.019,10.803,10.854
pglib_opf_case9241_pegase,knitro,Solved,6242484.33480097,-1,9241,1445,16049,0.029,0.020,7.751,7.801
pglib_opf_case4661_sdet,knitro,Solved,2251344.08382091,-1,4661,1176,5997,0.014,0.008,0.471,0.494
pglib_opf_case4661_sdet:ipopt,Solved,2251344.06500916,44,4661,1176,5997,0.014,0.007,1.636,1.658
pglib_opf_case2869_pegase:ipopt,Solved,2462790.43223377,43,2869,510,4582,0.009,0.006,0.818,0.834
pglib_opf_case2869_pegase,knitro,Solved,2462790.45261252,-1,2869,510,4582,0.010,0.006,0.298,0.315
pglib_opf_case2848_rte:ipopt,Solved,1286608.19103481,163,2848,547,3776,0.009,0.005,3.785,3.800
pglib_opf_case2848_rte,knitro,Solved,1286608.20948885,-1,2848,547,3776,0.008,0.005,1.360,1.374
pglib_opf_case2868_rte,knitro,Solved,2009605.32794643,-1,2868,599,3808,0.009,0.005,1.311,1.326
pglib_opf_case30000_goc__api:ipopt,Solved,1776875.21650465,405,30000,3526,35393,0.064,0.043,91.831,91.939
pglib_opf_case30000_goc__api,knitro,Solved,1776875.32041556,-1,30000,3526,35393,0.063,0.044,29.108,29.215
pglib_opf_case78484_epigrids__sad,knitro,Error,17982080.0641549,-1,78484,6873,126146,0.216,0.177,127.430,127.824
pglib_opf_case30000_goc__sad,knitro,Solved,1142331.61086787,-1,30000,3526,35393,0.068,0.045,30.652,30.767
pglib_opf_case30000_goc__sad:ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.066,0.045,22.875,22.987
